model,dataset,data_dir,seed,train_percent,hidden,lr,weight_decay,epochs_trained,micro_f1,macro_f1,auc_roc_macro,ap
GCN,f10_c5_h0.4,data\synthetic\exp3\f10_c5_h0.4,0,0.6,256,0.01,0.0005,299,0.7621121393576483,0.6348914936347914,0.9110750733523953,0.7801826697258629
GCN,f10_c5_h0.4,data\synthetic\exp3\f10_c5_h0.4,1,0.6,256,0.01,0.0005,299,0.7968574635241302,0.6745751818915657,0.9179568021717259,0.7934769922637324
GCN,f10_c5_h0.4,data\synthetic\exp3\f10_c5_h0.4,2,0.6,256,0.01,0.0005,299,0.7719688542825361,0.6494442092212571,0.9183919421719402,0.7891373048639577
GCN,f10_c20_h0.4,data\synthetic\exp3\f10_c20_h0.4,0,0.6,256,0.01,0.0005,299,0.6776744186046512,0.40959747606149205,0.8501695948214719,0.5339870861566735
GCN,f10_c20_h0.4,data\synthetic\exp3\f10_c20_h0.4,1,0.6,256,0.01,0.0005,299,0.6660558863948695,0.4129804532225463,0.845504142578074,0.535321658010891
GCN,f10_c20_h0.4,data\synthetic\exp3\f10_c20_h0.4,2,0.6,256,0.01,0.0005,299,0.6778711484593838,0.4141900495135119,0.843870419234969,0.5318980844387625
GCN,f10_c100_h0.4,data\synthetic\exp3\f10_c100_h0.4,0,0.6,256,0.01,0.0005,71,0.6449685199018248,0.2601740596633115,0.6241224125314642,0.26318886303589506
GCN,f10_c100_h0.4,data\synthetic\exp3\f10_c100_h0.4,1,0.6,256,0.01,0.0005,70,0.6530165676773992,0.26598721062362624,0.6191223434339057,0.25822858358800915
GCN,f10_c100_h0.4,data\synthetic\exp3\f10_c100_h0.4,2,0.6,256,0.01,0.0005,72,0.6513906447534766,0.2614314099456966,0.6298695776293389,0.26267966834589396
GCN,f50_c5_h0.4,data\synthetic\exp3\f50_c5_h0.4,0,0.6,256,0.01,0.0005,299,0.8919449901768173,0.8835031218385542,1.0,1.0
GCN,f50_c5_h0.4,data\synthetic\exp3\f50_c5_h0.4,1,0.6,256,0.01,0.0005,299,0.8837209302325582,0.8779323881850182,1.0,1.0
GCN,f50_c5_h0.4,data\synthetic\exp3\f50_c5_h0.4,2,0.6,256,0.01,0.0005,298,0.8581997533908755,0.851195535116067,1.0,1.0
GCN,f50_c20_h0.4,data\synthetic\exp3\f50_c20_h0.4,0,0.6,256,0.01,0.0005,299,0.38095238095238093,0.20952177152461995,0.7494570345110325,0.30289859898872484
GCN,f50_c20_h0.4,data\synthetic\exp3\f50_c20_h0.4,1,0.6,256,0.01,0.0005,299,0.39561128526645767,0.1997526950579635,0.7398880759079806,0.30868239243575124
GCN,f50_c20_h0.4,data\synthetic\exp3\f50_c20_h0.4,2,0.6,256,0.01,0.0005,205,0.38741517581739665,0.19963362830104334,0.7244318999914002,0.2799603280303268
GCN,f50_c100_h0.4,data\synthetic\exp3\f50_c100_h0.4,0,0.6,256,0.01,0.0005,89,0.540323696223544,0.15225605732546443,0.48775430394630087,0.12211726150528893
GCN,f50_c100_h0.4,data\synthetic\exp3\f50_c100_h0.4,1,0.6,256,0.01,0.0005,89,0.5392047045645477,0.14703616235703165,0.4964443172918864,0.12377074931460438
GCN,f50_c100_h0.4,data\synthetic\exp3\f50_c100_h0.4,2,0.6,256,0.01,0.0005,72,0.5279238311780589,0.14161320229973298,0.49070633087402393,0.12086051455552599
GCN,f200_c5_h0.4,data\synthetic\exp3\f200_c5_h0.4,0,0.6,256,0.01,0.0005,299,0.620077648363838,0.6091849369174995,1.0,1.0
GCN,f200_c5_h0.4,data\synthetic\exp3\f200_c5_h0.4,1,0.6,256,0.01,0.0005,299,0.6341463414634146,0.6210468119229681,1.0,1.0
GCN,f200_c5_h0.4,data\synthetic\exp3\f200_c5_h0.4,2,0.6,256,0.01,0.0005,299,0.6739130434782609,0.6604447603133613,1.0,1.0
GCN,f200_c20_h0.4,data\synthetic\exp3\f200_c20_h0.4,0,0.6,256,0.01,0.0005,148,0.2127022168963451,0.093908912969718,0.7179963673685774,0.21384257712713942
GCN,f200_c20_h0.4,data\synthetic\exp3\f200_c20_h0.4,1,0.6,256,0.01,0.0005,141,0.2119164619164619,0.09602617211687237,0.7039660891083657,0.21395166717599218
GCN,f200_c20_h0.4,data\synthetic\exp3\f200_c20_h0.4,2,0.6,256,0.01,0.0005,141,0.2603823335530653,0.1222376916447488,0.7037521520970481,0.21779216252631647
GCN,f200_c100_h0.4,data\synthetic\exp3\f200_c100_h0.4,0,0.6,256,0.01,0.0005,299,0.515271838729383,0.11625854369317876,0.6153892629988743,0.1546080738902748
GCN,f200_c100_h0.4,data\synthetic\exp3\f200_c100_h0.4,1,0.6,256,0.01,0.0005,299,0.5227792168215755,0.1250829713811028,0.6072195247463995,0.151279649222961
GCN,f200_c100_h0.4,data\synthetic\exp3\f200_c100_h0.4,2,0.6,256,0.01,0.0005,299,0.5150090964220739,0.1206205538255924,0.6114588782844393,0.1511273670775818
H2GCN,f10_c5_h0.4,data\synthetic\exp3\f10_c5_h0.4,0,0.6,64,0.01,0.0005,299,0.9254218835057159,0.9110251819827979,0.9990099030572175,0.9967051337239322
H2GCN,f10_c5_h0.4,data\synthetic\exp3\f10_c5_h0.4,1,0.6,64,0.01,0.0005,280,0.9528619528619529,0.942780120832381,0.9970696212830108,0.9903214086137616
H2GCN,f10_c5_h0.4,data\synthetic\exp3\f10_c5_h0.4,2,0.6,64,0.01,0.0005,141,0.9043381535038932,0.8822876120079652,0.9849623689607135,0.9611468084841024
H2GCN,f10_c20_h0.4,data\synthetic\exp3\f10_c20_h0.4,0,0.6,64,0.01,0.0005,234,0.7795348837209303,0.5878397643619528,0.9070393519229519,0.6725136224614374
H2GCN,f10_c20_h0.4,data\synthetic\exp3\f10_c20_h0.4,1,0.6,64,0.01,0.0005,150,0.7489693082913422,0.5731273450130157,0.8985599304979264,0.6606491903064792
H2GCN,f10_c20_h0.4,data\synthetic\exp3\f10_c20_h0.4,2,0.6,64,0.01,0.0005,281,0.7987861811391224,0.6295659600066869,0.9065593749246356,0.6873573750164976
H2GCN,f10_c100_h0.4,data\synthetic\exp3\f10_c100_h0.4,0,0.6,64,0.01,0.0005,176,0.6796499839931704,0.31348948657441456,0.6889383747893302,0.38198626477372494
H2GCN,f10_c100_h0.4,data\synthetic\exp3\f10_c100_h0.4,1,0.6,64,0.01,0.0005,137,0.6730228196311347,0.3057849712936258,0.6794361969391168,0.36865834879037945
H2GCN,f10_c100_h0.4,data\synthetic\exp3\f10_c100_h0.4,2,0.6,64,0.01,0.0005,191,0.684787189211968,0.326069095534059,0.692007867574789,0.3788426370587136
H2GCN,f50_c5_h0.4,data\synthetic\exp3\f50_c5_h0.4,0,0.6,64,0.01,0.0005,180,0.8919449901768173,0.8835031218385542,0.9999958311620636,0.9999780701754386
H2GCN,f50_c5_h0.4,data\synthetic\exp3\f50_c5_h0.4,1,0.6,64,0.01,0.0005,277,0.8837209302325582,0.8779323881850182,1.0,1.0
H2GCN,f50_c5_h0.4,data\synthetic\exp3\f50_c5_h0.4,2,0.6,64,0.01,0.0005,233,0.8581997533908755,0.851195535116067,1.0,1.0
H2GCN,f50_c20_h0.4,data\synthetic\exp3\f50_c20_h0.4,0,0.6,64,0.01,0.0005,190,0.6784083496412263,0.5874784474676618,0.8964694488409419,0.6419803526923669
H2GCN,f50_c20_h0.4,data\synthetic\exp3\f50_c20_h0.4,1,0.6,64,0.01,0.0005,181,0.6683385579937304,0.569293620059968,0.8948740506824372,0.6339069635869629
H2GCN,f50_c20_h0.4,data\synthetic\exp3\f50_c20_h0.4,2,0.6,64,0.01,0.0005,181,0.6927822331893893,0.5881663538769984,0.8995975331052197,0.6514646932546883
H2GCN,f50_c100_h0.4,data\synthetic\exp3\f50_c100_h0.4,0,0.6,64,0.01,0.0005,212,0.5368654032369622,0.15894896455323212,0.5360658599875647,0.15910311717319475
