model,dataset,data_dir,seed,train_percent,hidden,lr,weight_decay,epochs_trained,micro_f1,macro_f1,auc_roc_macro,ap
GCN,cs0p3_h0.4,data\synthetic\exp5\cs0p3_h0.4,0,0.6,256,0.01,0.0005,101,0.8595920138888888,0.6215555710062615,0.49319181725295,0.3842983458988962
GCN,cs0p3_h0.4,data\synthetic\exp5\cs0p3_h0.4,1,0.6,256,0.01,0.0005,82,0.859608503472953,0.622001389028827,0.4834489276092066,0.400675473749177
GCN,cs0p3_h0.4,data\synthetic\exp5\cs0p3_h0.4,2,0.6,256,0.01,0.0005,100,0.8632701937731331,0.6160981679663295,0.4902776953761996,0.3803401972550154
GCN,cs0p5_h0.4,data\synthetic\exp5\cs0p5_h0.4,0,0.6,256,0.01,0.0005,299,0.8031242251425738,0.5070699257917558,0.7035816589957649,0.49475714302970114
GCN,cs0p5_h0.4,data\synthetic\exp5\cs0p5_h0.4,1,0.6,256,0.01,0.0005,299,0.8008130081300813,0.5072284951415846,0.6979705543285084,0.5081437588088349
GCN,cs0p5_h0.4,data\synthetic\exp5\cs0p5_h0.4,2,0.6,256,0.01,0.0005,299,0.7990584737363726,0.4969307560995868,0.6963378808572391,0.4862409588106302
GCN,cs0p7_h0.4,data\synthetic\exp5\cs0p7_h0.4,0,0.6,256,0.01,0.0005,192,0.6920426065162907,0.35288611026861727,0.7967446607264497,0.4866113995478387
GCN,cs0p7_h0.4,data\synthetic\exp5\cs0p7_h0.4,1,0.6,256,0.01,0.0005,154,0.7023845457289466,0.3654154132943247,0.7945463555907566,0.4907893923364391
GCN,cs0p7_h0.4,data\synthetic\exp5\cs0p7_h0.4,2,0.6,256,0.01,0.0005,158,0.6966854283927455,0.3609218955740694,0.7985146306051675,0.49027520118902473
GCN,cs1_h0.4,data\synthetic\exp5\cs1_h0.4,0,0.6,256,0.01,0.0005,292,0.6781395348837209,0.4074688357458397,0.8656619428097528,0.5500417688090796
GCN,cs1_h0.4,data\synthetic\exp5\cs1_h0.4,1,0.6,256,0.01,0.0005,299,0.6752175904718277,0.4314379051541229,0.8586942219925016,0.552601201714132
GCN,cs1_h0.4,data\synthetic\exp5\cs1_h0.4,2,0.6,256,0.01,0.0005,277,0.6834733893557423,0.4218989713870339,0.8583104298361679,0.5455987304145444
H2GCN,cs0p3_h0.4,data\synthetic\exp5\cs0p3_h0.4,0,0.6,64,0.01,0.0005,208,0.8726128472222222,0.6400561585400324,0.6951796486988789,0.5481288210075145
H2GCN,cs0p3_h0.4,data\synthetic\exp5\cs0p3_h0.4,1,0.6,64,0.01,0.0005,207,0.8703430856661756,0.6300308599693102,0.7002551045305041,0.5658953686539343
H2GCN,cs0p3_h0.4,data\synthetic\exp5\cs0p3_h0.4,2,0.6,64,0.01,0.0005,299,0.8728499891138689,0.6245982262713944,0.714662241836282,0.5586219848953535
