model,dataset,data_dir,seed,train_percent,hidden,lr,weight_decay,epochs_trained,micro_f1,macro_f1,auc_roc_macro,ap
GCN,hyperspheres_10_20_h0.1,data\synthetic\hyperspheres_10_20_h0.1,0,0.6,256,0.01,0.0005,47,0.5534514355528406,0.2309731297598283,0.47676271859924524,0.13818455937634594
GCN,hyperspheres_10_20_h0.1,data\synthetic\hyperspheres_10_20_h0.1,1,0.6,256,0.01,0.0005,77,0.5695754716981132,0.23470058536128838,0.4967844116457713,0.1478986325745127
GCN,hyperspheres_10_20_h0.1,data\synthetic\hyperspheres_10_20_h0.1,2,0.6,256,0.01,0.0005,54,0.5614344503233392,0.24133408169661497,0.504319010520734,0.1466100121235572
GCN,hyperspheres_10_20_h0.4,data\synthetic\hyperspheres_10_20_h0.4,0,0.6,256,0.01,0.0005,99,0.6334758704948076,0.2714542212279065,0.7782807333336362,0.35851708155514395
GCN,hyperspheres_10_20_h0.4,data\synthetic\hyperspheres_10_20_h0.4,1,0.6,256,0.01,0.0005,99,0.6580188679245284,0.28565455810886864,0.7772805909528347,0.3495217493225211
GCN,hyperspheres_10_20_h0.4,data\synthetic\hyperspheres_10_20_h0.4,2,0.6,256,0.01,0.0005,99,0.6384479717813051,0.2810538049208039,0.7832267133008503,0.35573677442928886
GCN,hyperspheres_10_20_h0.8,data\synthetic\hyperspheres_10_20_h0.8,0,0.6,256,0.01,0.0005,99,0.9205864386072083,0.721231996362522,0.9773037838319066,0.903509162410894
GCN,hyperspheres_10_20_h0.8,data\synthetic\hyperspheres_10_20_h0.8,1,0.6,256,0.01,0.0005,99,0.9150943396226415,0.7067955259362874,0.9711310837827911,0.8885250331844198
GCN,hyperspheres_10_20_h0.8,data\synthetic\hyperspheres_10_20_h0.8,2,0.6,256,0.01,0.0005,99,0.9312169312169312,0.7657837485217053,0.9734840859477727,0.8974497716809099
H2GCN,hyperspheres_10_20_h0.1,data\synthetic\hyperspheres_10_20_h0.1,0,0.6,64,0.01,0.0005,99,0.7910812461820403,0.5324639102122909,0.9187528300373937,0.6275281389352619
H2GCN,hyperspheres_10_20_h0.1,data\synthetic\hyperspheres_10_20_h0.1,1,0.6,64,0.01,0.0005,99,0.7906839622641509,0.5126014313479101,0.9105952122713165,0.5803565579203931
