model,dataset,data_dir,seed,train_percent,hidden,lr,weight_decay,epochs_trained,micro_f1,macro_f1,auc_roc_macro,ap
GCN,hyperspheres_10_20_10_h0.4,data/synthetic/hyperspheres_10_20_10_h0.4,0,0.6,256,0.01,0.0005,99,0.6304215027489309,0.26922332186826387,0.7832883719901417,0.3677687048334805
GCN,hyperspheres_10_20_10_h0.4,data/synthetic/hyperspheres_10_20_10_h0.4,1,0.6,256,0.01,0.0005,99,0.6586084905660378,0.2861476826334185,0.7886198027613189,0.36869534610280996
GCN,hyperspheres_10_20_10_h0.4,data/synthetic/hyperspheres_10_20_10_h0.4,2,0.6,256,0.01,0.0005,99,0.6402116402116402,0.2855959658653515,0.7875015276920971,0.3642795908213977
GCN,hyperspheres_10_20_10_h0.8,data/synthetic/hyperspheres_10_20_10_h0.8,0,0.6,256,0.01,0.0005,99,0.9175320708613317,0.7159246695163597,0.9808292165046396,0.9145177572492628
GCN,hyperspheres_10_20_10_h0.8,data/synthetic/hyperspheres_10_20_10_h0.8,1,0.6,256,0.01,0.0005,99,0.9133254716981132,0.7109039771633674,0.9761416871097902,0.9038785464181307
GCN,hyperspheres_10_20_10_h0.8,data/synthetic/hyperspheres_10_20_10_h0.8,2,0.6,256,0.01,0.0005,99,0.9312169312169312,0.780652647702323,0.9789080483353418,0.9124798863453691
H2GCN,hyperspheres_10_20_10_h0.4,data/synthetic/hyperspheres_10_20_10_h0.4,0,0.6,64,0.01,0.0005,99,0.822846670739157,0.516799983336105,0.9538962522011396,0.6558895628140189
H2GCN,hyperspheres_10_20_10_h0.4,data/synthetic/hyperspheres_10_20_10_h0.4,1,0.6,64,0.01,0.0005,87,0.8148584905660378,0.46470803745440054,0.9409364603925271,0.6215102133980646
H2GCN,hyperspheres_10_20_10_h0.4,data/synthetic/hyperspheres_10_20_10_h0.4,2,0.6,64,0.01,0.0005,90,0.8124632569077014,0.5350490967630257,0.9471590095071415,0.6730636963805783
H2GCN,hyperspheres_10_20_10_h0.8,data/synthetic/hyperspheres_10_20_10_h0.8,0,0.6,64,0.01,0.0005,99,0.9480757483200978,0.902154111527713,0.9931550553701639,0.942664115277028
H2GCN,hyperspheres_10_20_10_h0.8,data/synthetic/hyperspheres_10_20_10_h0.8,1,0.6,64,0.01,0.0005,99,0.9522405660377359,0.8993543388557915,0.9935873996174468,0.9225275833780954
H2GCN,hyperspheres_10_20_10_h0.8,data/synthetic/hyperspheres_10_20_10_h0.8,2,0.6,64,0.01,0.0005,99,0.9641387419165197,0.9240362835351272,0.9941757348468965,0.9405891353253839
