model,dataset,data_dir,seed,train_percent,hidden,lr,weight_decay,epochs_trained,micro_f1,macro_f1,auc_roc_macro,ap
GCN,hyperspheres_10_20_10_h0.8,data/synthetic/hyperspheres_10_20_10_h0.8,0,0.6,256,0.01,0.0005,99,0.6218418907905461,0.6042267176020544,0.8660149505879616,0.6941966433151309
GCN,hyperspheres_10_20_10_h0.8,data/synthetic/hyperspheres_10_20_10_h0.8,1,0.6,256,0.01,0.0005,99,0.6468699839486356,0.632650090498082,0.8585352281013403,0.6790901655492212
GCN,hyperspheres_10_20_10_h0.8,data/synthetic/hyperspheres_10_20_10_h0.8,2,0.6,256,0.01,0.0005,99,0.6589456869009584,0.6406261124180849,0.8714921908713983,0.7032134666408151
H2GCN,hyperspheres_10_20_10_h0.8,data/synthetic/hyperspheres_10_20_10_h0.8,0,0.6,64,0.001,0.0005,24,0.11817440912795436,0.09880340061394369,0.5898921179905463,0.1334976921923006
H2GCN,hyperspheres_10_20_10_h0.8,data/synthetic/hyperspheres_10_20_10_h0.8,1,0.6,64,0.001,0.0005,24,0.12680577849117175,0.10452986839425071,0.5802254473356144,0.1355091388669457
H2GCN,hyperspheres_10_20_10_h0.8,data/synthetic/hyperspheres_10_20_10_h0.8,2,0.6,64,0.001,0.0005,23,0.14376996805111822,0.11317637151701732,0.5927192027806188,0.1386907257353356
GCN,hyperspheres_10_20_10_h0.8,data/synthetic/hyperspheres_10_20_10_h0.8,0,0.6,256,0.01,0.0005,99,0.670892494929006,0.49520267216069824,0.8037060804893399,0.57831392019058
GCN,hyperspheres_10_20_10_h0.8,data/synthetic/hyperspheres_10_20_10_h0.8,1,0.6,256,0.01,0.0005,99,0.6699458927693065,0.48829019095588866,0.8033145064556987,0.5782776775542038
GCN,hyperspheres_10_20_10_h0.8,data/synthetic/hyperspheres_10_20_10_h0.8,2,0.6,256,0.01,0.0005,99,0.6850433894844309,0.4907713420642719,0.8196683319326679,0.598995088202863
H2GCN,hyperspheres_10_20_10_h0.8,data/synthetic/hyperspheres_10_20_10_h0.8,0,0.6,64,0.001,0.0005,99,0.5522312373225152,0.24640139335390257,0.6469795077185101,0.2860571727882498
