model,dataset,data_dir,seed,train_percent,hidden,lr,weight_decay,epochs_trained,micro_f1,macro_f1,auc_roc_macro,ap
GCN,hyperspheres_10_20_10_h0.4,data/synthetic/hyperspheres_10_20_10_h0.4,0,0.6,256,0.01,0.0005,21,0.35384615384615387,0.11712262705126744,0.6708572897976742,0.2374377777845394
GCN,hyperspheres_10_20_10_h0.4,data/synthetic/hyperspheres_10_20_10_h0.4,1,0.6,256,0.01,0.0005,99,0.4471264367816092,0.1642402114295064,0.7452753067561189,0.3025502673432185
GCN,hyperspheres_10_20_10_h0.4,data/synthetic/hyperspheres_10_20_10_h0.4,2,0.6,256,0.01,0.0005,22,0.37798485730926035,0.13077993900132998,0.6694188435911472,0.22675281804196595
GCN,hyperspheres_10_20_10_h0.6,data/synthetic/hyperspheres_10_20_10_h0.6,0,0.6,256,0.01,0.0005,99,0.5863247863247864,0.3758314905542475,0.8347118638397568,0.5096348511227708
GCN,hyperspheres_10_20_10_h0.6,data/synthetic/hyperspheres_10_20_10_h0.6,1,0.6,256,0.01,0.0005,99,0.6068965517241379,0.39998963212669325,0.8587484012584398,0.5403725312764648
GCN,hyperspheres_10_20_10_h0.6,data/synthetic/hyperspheres_10_20_10_h0.6,2,0.6,256,0.01,0.0005,99,0.5742574257425742,0.3880776551545164,0.8465401865973856,0.5257899410058049
GCN,hyperspheres_10_20_10_h0.8,data/synthetic/hyperspheres_10_20_10_h0.8,0,0.6,256,0.01,0.0005,99,0.6598290598290598,0.5399426348284142,0.8265084650551277,0.6487157903225457
GCN,hyperspheres_10_20_10_h0.8,data/synthetic/hyperspheres_10_20_10_h0.8,1,0.6,256,0.01,0.0005,99,0.6683908045977012,0.5338839383007061,0.8323145179942557,0.6427394087257023
GCN,hyperspheres_10_20_10_h0.8,data/synthetic/hyperspheres_10_20_10_h0.8,2,0.6,256,0.01,0.0005,99,0.6383226557949913,0.5111078758995242,0.8237138015928176,0.6281412760657406
H2GCN,hyperspheres_10_20_10_h0.4,data/synthetic/hyperspheres_10_20_10_h0.4,0,0.6,64,0.001,0.0005,49,0.38632478632478634,0.14235367734456567,0.6598045199068203,0.23470134349390254
